"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Oct 15 20:21:25 EEST 2024","Tue Oct 15 20:21:25 EEST 2024","282","Default Suite","Wali's rest","ListTest","ListTest","getNewList","getNewList",""
"passed","Tue Oct 15 20:21:25 EEST 2024","Tue Oct 15 20:21:25 EEST 2024","274","Default Suite","Wali's rest","ListTest","ListTest","updateList","updateList",""
"passed","Tue Oct 15 20:21:27 EEST 2024","Tue Oct 15 20:21:27 EEST 2024","637","Default Suite","Wali's rest","BoardTest","BoardTest","createBoard","createBoard",""
"passed","Tue Oct 15 20:21:21 EEST 2024","Tue Oct 15 20:21:21 EEST 2024","313","Default Suite","Wali's rest","CardTest","CardTest","getNewCard","getNewCard",""
"passed","Tue Oct 15 20:21:21 EEST 2024","Tue Oct 15 20:21:22 EEST 2024","584","Default Suite","Wali's rest","CardTest","CardTest","deleteCard","deleteCard",""
"passed","Tue Oct 15 20:21:22 EEST 2024","Tue Oct 15 20:21:22 EEST 2024","341","Default Suite","Wali's rest","CardTest","CardTest","getDeletedCard","getDeletedCard",""
"passed","Tue Oct 15 20:21:31 EEST 2024","Tue Oct 15 20:21:31 EEST 2024","318","Default Suite","Wali's rest","LabelTest","LabelTest","createLabel","createLabel",""
"passed","Tue Oct 15 20:21:30 EEST 2024","Tue Oct 15 20:21:30 EEST 2024","389","Default Suite","Wali's rest","BoardTest","BoardTest","getDeletedBoard","getDeletedBoard",""
"passed","Tue Oct 15 20:21:30 EEST 2024","Tue Oct 15 20:21:31 EEST 2024","682","Default Suite","Wali's rest","LabelTest","LabelTest","createBoard","createBoard",""
"passed","Tue Oct 15 20:21:20 EEST 2024","Tue Oct 15 20:21:21 EEST 2024","333","Default Suite","Wali's rest","CardTest","CardTest","getCard","getCard",""
"passed","Tue Oct 15 20:21:28 EEST 2024","Tue Oct 15 20:21:28 EEST 2024","456","Default Suite","Wali's rest","BoardTest","BoardTest","updateBoard","updateBoard",""
"passed","Tue Oct 15 20:21:19 EEST 2024","Tue Oct 15 20:21:20 EEST 2024","353","Default Suite","Wali's rest","CardTest","CardTest","createList","createList",""
"passed","Tue Oct 15 20:21:31 EEST 2024","Tue Oct 15 20:21:32 EEST 2024","340","Default Suite","Wali's rest","LabelTest","LabelTest","updateLabel","updateLabel",""
"passed","Tue Oct 15 20:21:24 EEST 2024","Tue Oct 15 20:21:24 EEST 2024","467","Default Suite","Wali's rest","ListTest","ListTest","createBoard","createBoard",""
"passed","Tue Oct 15 20:21:32 EEST 2024","Tue Oct 15 20:21:32 EEST 2024","435","Default Suite","Wali's rest","LabelTest","LabelTest","deleteLabel","deleteLabel",""
"passed","Tue Oct 15 20:21:32 EEST 2024","Tue Oct 15 20:21:32 EEST 2024","253","Default Suite","Wali's rest","LabelTest","LabelTest","getNewLabel","getNewLabel",""
